"","V1","V2"
"3607",1376402160,55.9
"3605",1376405760,57
"3603",1376409360,59
"3601",1376412960,62.1
"3621",1376416560,64
"3619",1376420160,68
"3616",1376423760,69.1
"3622",1376427360,75
"3614",1376430960,72
"3612",1376434560,69.1
"3610",1376438160,66
"3608",1376441760,69.1
"3606",1376445360,63
"3604",1376448960,62.1
"3602",1376452560,61
"3600",1376456160,61
"3620",1376459760,60.1
"3618",1376463360,60.1
"3592",1376466960,59
"3599",1376470560,57.9
"3590",1376474160,57
"3587",1376477760,57
"3585",1376480520,55.4
"3584",1376481360,55.9
"3581",1376484960,55.9
"3579",1376488560,55.9
"3577",1376492160,57.9
"3575",1376495760,60.1
"3573",1376499360,62.1
"3596",1376502960,63
"3594",1376506560,64.9
"3591",1376510160,68
"3598",1376513760,69.1
"3589",1376517360,71.1
"3588",1376520120,71.6
"3586",1376520960,69.1
"3583",1376524560,68
"3582",1376526420,68
"3580",1376528160,68
"3578",1376531760,66
"3576",1376535360,64
"3574",1376538960,64
"3572",1376542560,64
"3597",1376544840,64.4
"3595",1376546160,64
"3593",1376549760,64
"3563",1376553360,64
"3571",1376554680,64.4
"3570",1376556960,63
"3561",1376560560,63
"3559",1376564160,62.1
"3557",1376567760,63
"3555",1376571360,63
"3553",1376574960,63
"3551",1376578560,63
"3549",1376582160,64
"3547",1376585760,64.9
"3568",1376589360,68
"3566",1376590080,69.8
"3565",1376592960,71.1
"3562",1376596560,73
"3569",1376600160,73.9
"3560",1376603760,77
"3558",1376607360,75
"3556",1376610960,75
"3554",1376614560,73
"3552",1376618160,70
"3550",1376621760,66
"3548",1376625360,66
"3567",1376632560,63
"3564",1376636160,63
"3540",1376639760,62.1
"3546",1376643360,61
"3538",1376644020,60.8
"3537",1376646960,60.1
"3535",1376650560,60.1
"3533",1376654160,61
"3531",1376655240,60.8
"3530",1376657760,60.1
"3528",1376660100,60.8
"3527",1376661360,60.1
"3525",1376664960,63
"3523",1376665800,62.6
"3521",1376668560,64.9
"3517",1376672160,66.9
"3544",1376675760,68
"3542",1376679360,69.1
"3539",1376682960,71.1
"3545",1376686560,71.1
"3536",1376690160,71.1
"3534",1376693760,70
"3532",1376697360,68
"3529",1376700960,66
"3526",1376704560,62.1
"3524",1376708160,60.1
"3522",1376711340,60.8
"3520",1376711760,60.1
"3519",1376712180,60.8
"3518",1376712480,60.8
"3516",1376715360,60.1
"3543",1376718960,60.1
"3541",1376722560,60.1
"3509",1376726160,59
"3515",1376729760,59
"3507",1376733360,59
"3504",1376736960,59
"3502",1376740560,59
"3500",1376744160,59
"3498",1376747760,59
"3495",1376751360,61
"3492",1376754960,62.1
"3490",1376758560,64.9
"3513",1376762160,66
"3511",1376765760,64.9
"3508",1376769360,69.1
"3514",1376772960,69.1
"3506",1376776560,70
"3505",1376779740,68
"3503",1376780160,68
"3501",1376783760,68
"3499",1376787360,64.9
"3497",1376790960,64
"3496",1376793360,62.6
"3494",1376794560,62.1
"3493",1376796300,60.8
"3491",1376798160,61
"3489",1376801760,61
"3512",1376805360,60.1
"3510",1376808960,60.1
"3482",1376812560,59
"3488",1376816160,59
"3480",1376819760,57.9
"3478",1376823360,57
"3476",1376826960,57
"3474",1376829780,57.2
"3473",1376830560,57
"3471",1376834160,57.9
"3469",1376837760,59
"3467",1376839080,60.8
"3466",1376841360,61
"3464",1376842980,62.6
"3463",1376844960,64.9
"3486",1376848560,66
"3484",1376852160,69.1
"3481",1376855760,72
"3487",1376859360,77
"3479",1376862960,75.9
"3477",1376866560,75
"3475",1376870160,75
"3472",1376873760,73.9
"3470",1376877360,70
"3468",1376880960,66.9
"3465",1376884560,66.9
"3462",1376888160,66
"3485",1376891760,64
"3483",1376895360,64.9
"3455",1376898960,64.9
"3461",1376902560,63
"3453",1376906160,64
"3450",1376909760,61
"3448",1376913360,60.1
"3446",1376916960,60.1
"3444",1376920560,60.1
"3442",1376924160,62.1
"3440",1376927760,66
"3438",1376931360,68
"3459",1376934960,70
"3457",1376938560,72
"3454",1376942160,72
"3460",1376945760,73
"3452",1376949360,70
"3451",1376952720,69.8
"3449",1376952960,69.1
"3447",1376956560,66.9
"3445",1376960160,66
"3443",1376963760,64
"3441",1376967360,64
"3439",1376970960,64.9
"3437",1376974560,66
"3458",1376978160,62.1
"3456",1376981760,62.1
"3430",1376985360,60.1
"3436",1376988960,60.1
"3428",1376992560,59
"3426",1376996160,59
"3424",1376999760,59
"3422",1377003360,60.1
"3420",1377006960,60.1
"3418",1377010560,60.1
"3416",1377014160,64
"3414",1377017760,68
"3434",1377021360,66.2
"3432",1377024960,69.1
"3429",1377028560,69.1
"3435",1377032160,72
"3427",1377035760,73
"3425",1377039360,75
"3423",1377042960,73
"3421",1377046560,70
"3419",1377050160,66
"3417",1377053760,63
"3415",1377057360,63
"3413",1377060960,61
"3433",1377064560,61
"3431",1377068160,60.1
"3406",1377071760,59
"3412",1377075360,59
"3404",1377078960,57.9
"3402",1377082560,57.9
"3400",1377086160,57.9
"3398",1377089760,57.9
"3396",1377093360,57.9
"3394",1377096960,59
"3392",1377100560,61
"3390",1377104160,62.1
"3410",1377107760,66
"3408",1377111360,66.9
"3405",1377114960,69.1
"3411",1377118560,70
"3403",1377122160,71.1
"3401",1377125760,70
"3399",1377129360,69.1
"3397",1377132960,66.9
"3395",1377136560,64
"3393",1377140160,62.1
"3391",1377143760,61
"3389",1377147360,61
"3409",1377150960,60.1
"3407",1377154560,60.1
"3382",1377158160,59
"3388",1377161760,59
"3380",1377165360,59
"3378",1377168960,59
"3376",1377170400,59
"3375",1377172560,59
"3373",1377176160,59
"3371",1377179760,60.1
"3369",1377183360,61
"3367",1377186960,61
"3365",1377190560,63
"3386",1377194160,64
"3384",1377197760,66.9
"3381",1377201360,69.1
"3387",1377204960,69.1
"3379",1377208560,69.1
"3377",1377212160,68
"3374",1377215760,66.9
"3372",1377219360,64.9
"3370",1377222960,63
"3368",1377226560,61
"3366",1377230160,61
"3364",1377233760,60.1
"3385",1377237360,60.1
"3383",1377240960,60.1
"3353",1377244560,60.1
"3363",1377245580,60.8
"3362",1377248160,60.1
"3351",1377251760,60.1
"3349",1377255360,60.1
"3347",1377258960,59
"3345",1377262560,59
"3343",1377266160,57.9
"3341",1377269760,57.9
"3339",1377273360,57
"3337",1377276960,57.9
"3358",1377280560,60.1
"3356",1377284160,63
"3354",1377285420,64.4
"3352",1377287760,64
"3361",1377291360,64.9
"3350",1377294960,64.9
"3348",1377298560,63
"3346",1377302160,64
"3344",1377305760,63
"3342",1377309360,62.1
"3340",1377312960,60.1
"3338",1377316560,59
"3336",1377320160,60.1
"3360",1377320940,60.8
"3359",1377321840,59
"3357",1377323760,59
"3355",1377327360,59
"3328",1377330960,59
"3335",1377334320,59
"3334",1377334560,59
"3326",1377337020,57.2
"3325",1377338160,59
"3323",1377341760,59
"3321",1377342420,59
"3320",1377345360,59
"3318",1377348960,59
"3316",1377352560,59
"3314",1377356160,60.1
"3312",1377358560,62.6
"3311",1377359760,63
"3309",1377363360,66.9
"3332",1377366960,66.9
"3330",1377370560,68
"3327",1377374160,69.1
"3333",1377377760,71.1
"3324",1377381360,68
"3322",1377384960,68
"3319",1377388560,66.9
"3317",1377392160,66
"3315",1377395760,64.9
"3313",1377399360,61
"3310",1377402960,62.1
"3308",1377406560,62.1
"3331",1377410160,61
"3329",1377413760,62.1
"3299",1377417360,63
"3307",1377420960,63
"3297",1377424560,63
"3295",1377428160,63
"3293",1377431760,63
"3290",1377435360,63
"3288",1377436620,64.4
"3287",1377438960,64
"3284",1377442560,64.9
"3282",1377446160,66
"3279",1377449760,68
"3305",1377451020,68
"3304",1377452580,69.8
"3303",1377453360,70
"3301",1377456960,71.1
"3298",1377460560,73
"3306",1377464160,72
"3296",1377467760,73
"3294",1377471360,70
"3292",1377474960,70
"3291",1377477720,69.8
"3289",1377478560,70
"3286",1377482160,68
"3285",1377484620,64.4
"3283",1377485760,64.9
"3281",1377489360,64.9
"3280",1377489780,64.4
"3278",1377492960,64
"3302",1377496560,62.1
"3300",1377500160,63
"3270",1377503760,64
"3277",1377507360,63
"3268",1377510960,62.1
"3266",1377511380,62.6
"3265",1377514560,62.1
"3263",1377518160,61
"3261",1377521760,60.1
"3259",1377525360,61
"3257",1377528960,61
"3255",1377532560,62.1
"3253",1377536160,63
"3275",1377539760,64
"3273",1377543360,66
"3271",1377545100,66.2
"3269",1377546960,66.9
"3276",1377550560,69.1
"3267",1377554160,69.1
"3264",1377557760,68
"3262",1377561360,68
"3260",1377564960,66
"3258",1377568560,63
"3256",1377572160,62.1
"3254",1377575760,61
"3252",1377579360,60.1
"3274",1377582960,60.1
"3272",1377586560,60.1
"3245",1377590160,59
"3251",1377593760,59
"3243",1377597360,57.9
"3241",1377600960,59
"3239",1377604560,57
"3237",1377608160,57.9
"3235",1377611760,57
"3233",1377615360,57.9
"3231",1377618960,60.1
"3228",1377622560,62.1
"3249",1377626160,66
"3247",1377629760,66
"3244",1377633360,66.9
"3250",1377636960,68
"3242",1377640560,70
"3240",1377644160,70
"3238",1377647760,69.1
"3236",1377651360,66.9
"3234",1377654960,64
"3232",1377658560,63
"3230",1377662160,62.1
"3229",1377664920,62.6
"3227",1377665760,62.1
"3248",1377669360,62.1
"3246",1377672960,61
"3219",1377676560,60.1
"3226",1377680160,60.1
"3217",1377683760,60.1
"3215",1377687360,60.1
"3213",1377690960,60.1
"3211",1377694560,60.1
"3207",1377698160,59
"3205",1377701760,61
"3203",1377703920,62.6
"3202",1377705360,62.1
"3200",1377708960,64
"3224",1377712560,66
"3222",1377714060,68
"3221",1377716160,69.1
"3218",1377719760,73
"3225",1377723360,73
"3216",1377726960,73
"3214",1377730560,71.1
"3212",1377734160,69.1
"3210",1377737760,68
"3209",1377739500,66.2
"3208",1377740820,64.4
"3206",1377741360,64
"3204",1377744960,64
"3201",1377748560,63
"3199",1377752160,63
"3223",1377755760,62.1
"3220",1377759360,62.1
"3191",1377760740,62.6
"3190",1377762960,62.1
"3198",1377764280,60.8
"3197",1377766560,61
"3188",1377770160,62.1
"3186",1377773760,62.1
"3184",1377777360,61
"3182",1377780960,62.1
"3180",1377784560,62.1
"3178",1377785460,62.6
"3177",1377788160,63
"3175",1377791760,64.9
"3172",1377795360,66.9
"3195",1377798960,69.1
"3193",1377802560,72
"3189",1377806160,71.1
"3196",1377809760,73
"3187",1377813360,73
"3185",1377816960,73
"3183",1377820560,71.1
"3181",1377824160,68
"3179",1377827760,66.9
"3176",1377831360,64.9
"3174",1377834960,64.9
"3173",1377837960,64.4
"3171",1377838560,64
"3194",1377842160,63
"3192",1377845760,63
"3163",1377849360,62.1
"3170",1377851040,60.8
"3169",1377852960,61
"3161",1377856560,61
"3159",1377860160,61
"3157",1377863760,61
"3155",1377864180,60.8
"3154",1377867360,60.1
"3152",1377870960,60.1
"3150",1377874560,61
"3148",1377878160,62.1
"3146",1377881760,66.9
"3167",1377885360,68
"3165",1377888960,72
"3162",1377892560,77
"3168",1377896160,75.9
"3160",1377899760,75.9
"3158",1377903360,73.9
"3156",1377906960,73
"3153",1377910560,70
"3151",1377914160,66.9
"3149",1377917760,64
"3147",1377921360,64
"3145",1377924960,63
"3166",1377928560,62.1
"3164",1377932160,62.1
"3136",1377935760,61
"3144",1377938460,60.8
"3143",1377939360,60.1
"3134",1377942960,59
"3132",1377946560,57.9
"3130",1377950160,57
"3128",1377953040,57.2
"3127",1377953760,57
"3125",1377954840,57.2
"3124",1377957360,57.9
"3122",1377958800,57.2
"3121",1377960960,59
"3119",1377964560,61
"3117",1377966540,62.6
"3116",1377968160,64
"3141",1377971760,66
"3138",1377975360,68
"3135",1377978960,69.1
"3142",1377982560,71.1
"3133",1377986160,70
"3131",1377989760,69.1
"3129",1377993360,68
"3126",1377996960,66
"3123",1378000560,64
"3120",1378004160,61
"3118",1378007760,60.1
"3115",1378011360,60.1
"3140",1378014960,60.1
"3139",1378018320,60.8
"3137",1378018560,60.1
"3107",1378022160,60.1
"3114",1378022820,60.8
"3113",1378025760,60.1
"3105",1378029360,59
"3103",1378032960,59
"3101",1378036560,59
"3099",1378040160,59
"3097",1378043760,59
"3095",1378047360,60.1
"3093",1378050960,63
"3091",1378054560,66
"3111",1378058160,69.1
"3109",1378061760,71.1
"3106",1378065360,71.1
"3112",1378068960,72
"3104",1378072560,73
"3102",1378076160,68
"3100",1378079760,68
"3098",1378083360,66.9
"3096",1378086960,64.9
"3094",1378090560,64.9
"3092",1378094160,64.9
"3090",1378097760,64.9
"3110",1378101360,64.9
"3108",1378104960,64.9
"3081",1378108560,64.9
"3089",1378112160,64
"3079",1378113420,62.6
"3078",1378115760,63
"3076",1378119360,64
"3074",1378122960,64.9
"3072",1378126560,64.9
"3070",1378130160,64.9
"3067",1378133760,66
"3064",1378137360,66
"3062",1378140960,66.9
"3087",1378144560,68
"3085",1378145760,69.8
"3083",1378148160,72
"3080",1378151760,73.9
"3088",1378155360,72
"3077",1378158960,72
"3075",1378162560,73
"3073",1378166160,71.1
"3071",1378169760,70
"3069",1378173360,68
"3068",1378176300,66.2
"3066",1378176960,66
"3065",1378178520,64.4
"3063",1378180560,64
"3061",1378184160,63
"3086",1378187760,62.1
"3084",1378190640,62.6
"3082",1378191360,63
"3054",1378194960,62.1
"3060",1378198560,62.1
"3052",1378202160,62.1
"3050",1378205760,61
"3048",1378209360,61
"3046",1378212960,61
"3043",1378216560,60.1
"3041",1378220160,62.1
"3038",1378223760,64
"3036",1378227360,66.9
"3058",1378230960,71.1
"3056",1378234560,73
"3053",1378238160,73
"3059",1378241760,73
"3051",1378245360,72
"3049",1378248960,72
"3047",1378252560,71.1
"3045",1378256160,69.1
"3044",1378258740,66.2
"3042",1378259760,66
"3040",1378263360,64.9
"3039",1378265940,64.4
"3037",1378266960,64.9
"3035",1378270560,64
"3057",1378274160,64
"3055",1378277760,63
"3027",1378281360,63
"3034",1378284960,63
"3025",1378288560,62.1
"3023",1378292160,62.1
"3021",1378292580,62.6
"3020",1378295760,62.1
"3017",1378299360,61
"3015",1378302960,62.1
"3012",1378306560,63
"3010",1378309560,62.6
"3009",1378310160,64
"3007",1378313760,66
"3032",1378317360,66.9
"3030",1378317960,68
"3029",1378320960,70
"3026",1378324560,71.1
"3033",1378328160,73
"3024",1378331760,72
"3022",1378335360,71.1
"3019",1378338960,70
"3018",1378340460,69.8
"3016",1378342560,68
"3014",1378346160,66
"3013",1378347900,64.4
"3011",1378349760,64
"3008",1378353360,64
"3006",1378356960,64
"3031",1378360560,63
"3028",1378364160,62.1
"2998",1378365660,62.6
"2997",1378367760,62.1
"3005",1378369500,62.6
"3004",1378371360,62.1
"2995",1378374960,62.1
"2993",1378378560,61
"2991",1378382160,61
"2989",1378385760,61
"2987",1378389360,61
"2985",1378392960,61
"2983",1378396560,63
"2981",1378400160,66
"3002",1378403760,66.9
"3000",1378407360,70
"2996",1378410960,70
"3003",1378414560,72
"2994",1378418160,70
"2992",1378421760,70
"2990",1378425360,69.1
"2988",1378428960,66.9
"2986",1378432560,64.9
"2984",1378436160,64
"2982",1378439760,63
"2980",1378443360,62.1
"3001",1378446960,61
"2999",1378450560,61
"2973",1378454160,61
"2979",1378457760,60.1
"2971",1378461360,59
"2969",1378464960,57.9
"2967",1378468560,57.9
"2965",1378472160,57
"2963",1378475760,57
"2961",1378479360,60.1
"2959",1378482960,64
"2957",1378486560,68
"2977",1378490160,71.1
"2975",1378493760,75
"2972",1378497360,79
"2978",1378500960,82
"2970",1378504560,84
"2968",1378508160,84
"2966",1378511760,82
"2964",1378515360,80.1
"2962",1378518960,77
"2960",1378522560,75
"2958",1378526160,73
"2956",1378529760,72
"2976",1378533360,71.1
"2974",1378536960,70
"2949",1378540560,69.1
"2955",1378544160,66.9
"2946",1378547760,64.9
"2944",1378551360,64
"2942",1378554960,63
"2940",1378558560,63
"2938",1378562160,64
"2936",1378565760,66.9
"2934",1378569360,70
"2932",1378572960,72
"2953",1378576560,73
"2951",1378580160,73.9
"2948",1378583760,75.9
"2954",1378587360,88
"2947",1378588320,87.8
"2945",1378590960,86
"2943",1378594560,80.6
"2941",1378598160,75.9
"2939",1378601760,73.9
"2937",1378605360,68
"2935",1378608960,62.1
"2933",1378612560,60.1
"2931",1378616160,60.1
"2952",1378619760,57.9
"2950",1378623360,57.9
"2924",1378626960,57.9
"2930",1378630560,57.9
"2922",1378634160,57
"2920",1378637760,57
"2918",1378641360,57
"2916",1378644960,57
"2914",1378647360,55.4
"2913",1378648560,57
"2911",1378652160,57.9
"2909",1378655760,61
"2907",1378659360,64.9
"2928",1378662960,66.9
"2926",1378666560,69.1
"2923",1378670160,73.9
"2929",1378673760,73
"2921",1378677360,71.1
"2919",1378680960,71.6
"2917",1378684560,69.8
"2915",1378688160,62.6
"2912",1378691760,62.6
"2910",1378695360,59
"2908",1378698960,59
"2906",1378702560,57.2
"2927",1378706160,57.2
"2925",1378709760,57.2
"2899",1378713360,57.2
"2905",1378716960,57.2
"2897",1378720560,57.2
"2895",1378724160,57
"2893",1378727760,55.4
"2891",1378731360,55.4
"2889",1378734960,55.9
"2887",1378738560,57
"2885",1378742160,61
"2883",1378745760,64.9
"2903",1378749360,66.9
"2901",1378752960,71.1
"2898",1378756560,71.1
"2904",1378760160,75.9
"2896",1378763760,72
"2894",1378767360,68
"2892",1378770960,69.1
"2890",1378774560,64.9
"2888",1378778160,63
"2886",1378781760,62.1
"2884",1378785360,61
"2882",1378788960,61
"2902",1378792560,60.1
"2900",1378796160,60.1
"2875",1378799760,59
"2881",1378803360,59
"2873",1378806960,57.9
"2871",1378810560,57.9
"2869",1378814160,57.9
"2867",1378817760,57.9
"2865",1378821360,57.9
"2863",1378824960,61
"2861",1378828560,63
"2859",1378832160,66
"2879",1378835760,69.1
"2877",1378839360,70
"2874",1378842960,71.1
"2880",1378846560,73
"2872",1378850160,73
"2870",1378853760,72
"2868",1378857360,72
"2866",1378860960,70
"2864",1378864560,66.9
"2862",1378868160,64.9
"2860",1378871760,64.9
"2858",1378875360,64
"2878",1378878960,64
"2876",1378882560,63
"2850",1378886160,62.1
"2857",1378889760,63
"2848",1378893360,62.1
"2846",1378896960,62.1
"2844",1378900560,63
"2842",1378904160,63
"2840",1378907760,64
"2838",1378911360,64
"2835",1378914960,66
"2833",1378918560,68
"2855",1378922160,68
"2853",1378925760,71.1
"2851",1378926600,71.6
"2849",1378929360,72
"2856",1378932960,72
"2847",1378936560,72
"2845",1378940160,72
"2843",1378943760,70
"2841",1378947360,69.1
"2839",1378950960,66.9
"2837",1378954560,66
"2836",1378957560,66.2
"2834",1378958160,66
"2832",1378961760,64.9
"2854",1378965360,64.9
"2852",1378968960,64
"2823",1378972560,64.9
"2831",1378976160,64
"2821",1378976580,64.4
"2820",1378979760,64
"2818",1378983360,63
"2816",1378984980,62.6
"2815",1378986960,63
"2812",1378990560,63
"2809",1378994160,63
"2807",1378997760,63
"2805",1379001360,64
"2803",1379003580,64.4
"2802",1379004960,64
"2829",1379006220,64.4
"2828",1379008560,64.9
"2826",1379012160,66
"2824",1379014800,68
"2822",1379015760,68
"2830",1379019360,70
"2819",1379022960,69.1
"2817",1379026560,66.9
"2814",1379030160,66
"2813",1379032080,64.4
"2811",1379033760,63
"2810",1379035380,62.6
"2808",1379037360,62.1
"2806",1379040960,61
"2804",1379044560,61
"2801",1379048160,60.1
"2827",1379051760,60.1
"2825",1379055360,60.1
"2792",1379058960,60.1
"2800",1379062560,59
"2790",1379066160,59
"2788",1379069760,57.9
"2786",1379073360,59
"2784",1379076960,57.9
"2782",1379080560,57.9
"2780",1379082600,57.2
"2779",1379084160,57
"2777",1379087760,59
"2775",1379091360,60.1
"2797",1379094960,60.1
"2795",1379097000,62.6
"2794",1379098560,63
"2791",1379102160,64.9
"2799",1379105760,64
"2789",1379109360,64.9
"2787",1379112960,63
"2785",1379116560,62.1
"2783",1379120160,61
"2781",1379123760,60.1
"2778",1379127360,59
"2776",1379130960,59
"2774",1379134560,59
"2798",1379136420,57.2
"2796",1379138160,57.9
"2793",1379141760,57.9
"2767",1379145360,57
"2773",1379148960,57.9
"2765",1379152560,57
"2763",1379156160,57
"2759",1379159760,57
"2757",1379163360,57
"2755",1379166960,57
"2753",1379170560,57.9
"2750",1379174160,57.9
"2748",1379177760,59
"2771",1379181360,59
"2769",1379184960,60.1
"2766",1379188560,62.1
"2772",1379192160,63
"2764",1379195760,64
"2762",1379199360,64
"2761",1379200200,64.4
"2760",1379200860,64.4
"2758",1379202960,64
"2756",1379206560,63
"2754",1379210160,61
"2752",1379213760,60.1
"2751",1379216520,60.8
"2749",1379217360,60.1
"2747",1379220960,60.1
"2770",1379224560,60.1
"2768",1379228160,59
"2740",1379231760,59
"2746",1379235360,59
"2738",1379238960,59
"2736",1379242560,59
"2734",1379246160,59
"2732",1379249760,59
"2730",1379253360,59
"2727",1379256960,60.1
"2724",1379260560,60.1
"2722",1379262900,62.6
"2721",1379264160,64
"2744",1379267760,66.9
"2742",1379271360,70
"2739",1379274960,71.1
"2745",1379278560,72
"2737",1379282160,71.1
"2735",1379285760,70
"2733",1379289360,70
"2731",1379292960,68
"2729",1379296560,64.9
"2728",1379298840,64.4
"2726",1379300160,64
"2725",1379302800,64.4
"2723",1379303760,63
"2720",1379307360,63
"2743",1379310960,63
"2741",1379314560,62.1
"2712",1379318160,61
"2719",1379321760,61
"2710",1379325360,60.1
"2708",1379328960,60.1
"2706",1379332560,60.1
"2704",1379336160,59
"2702",1379339760,60.1
"2700",1379343360,62.1
"2698",1379346960,63
"2696",1379350560,64
"2716",1379354160,68
"2714",1379357760,69.1
"2711",1379361360,70
"2718",1379364960,69.1
"2709",1379368560,68
"2707",1379372160,69.1
"2705",1379375760,69.1
"2703",1379379360,66.9
"2701",1379382960,63
"2699",1379386560,62.1
"2697",1379390160,61
"2695",1379393760,61
"2717",1379395800,60.8
"2715",1379397360,61
"2713",1379400960,61
"2688",1379404560,61
"2694",1379408160,61
"2686",1379411760,60.1
"2684",1379415360,59
"2682",1379418960,60.1
"2680",1379422560,59
"2678",1379426160,59
"2676",1379429760,57.9
"2674",1379430840,59
"2673",1379433360,60.1
"2671",1379436960,63
"2692",1379440560,64.9
"2690",1379444160,66.9
"2687",1379447760,66.9
"2693",1379451360,66.9
"2685",1379454960,66
"2683",1379458560,66
"2681",1379462160,66
"2679",1379465760,64
"2677",1379469360,62.1
"2675",1379472960,60.1
"2672",1379476560,59
"2670",1379480160,59
"2691",1379483760,59
"2689",1379487360,59
"2662",1379490960,57
"2668",1379494560,57
"2660",1379498160,55.9
"2658",1379501760,55
"2656",1379505360,55.9
"2654",1379508960,54
"2652",1379512560,55.9
"2650",1379516160,59
"2648",1379519760,63
"2646",1379523360,66
"2666",1379526960,68
"2664",1379530560,72
"2661",1379534160,73.9
"2669",1379535540,73.4
"2667",1379537760,73
"2659",1379541360,71.1
"2657",1379544960,72
"2655",1379548560,70
"2653",1379552160,64.9
"2651",1379555760,62.1
"2649",1379559360,61
"2647",1379562960,60.1
"2645",1379566560,59
"2665",1379570160,57.9
"2663",1379573760,57
"2638",1379577360,57
"2644",1379580960,55.9
"2636",1379584560,55.9
"2634",1379588160,55
"2632",1379591760,54
"2630",1379595360,54
"2628",1379598960,55
"2626",1379602560,57.9
"2624",1379606160,63
"2622",1379609760,64.9
"2642",1379613360,66.9
"2640",1379616960,69.1
"2637",1379620560,71.1
"2643",1379624160,78.1
"2635",1379627760,77
"2633",1379631360,73.9
"2631",1379634960,71.1
"2629",1379638560,71.1
"2627",1379642160,63
"2625",1379645760,62.1
"2623",1379649360,59
"2621",1379652960,57.9
"2641",1379656560,57.9
"2639",1379660160,57.9
"2613",1379663760,57
"2620",1379667360,57
"2611",1379670960,57.9
"2609",1379674560,55.9
"2607",1379676900,57.2
"2606",1379678160,57
"2604",1379679840,57.2
"2603",1379681760,59
"2601",1379685360,59
"2599",1379688960,60.1
"2596",1379692560,60.1
"2593",1379696160,62.1
"2618",1379699760,64
"2616",1379703360,68
"2614",1379704740,69.8
"2612",1379706960,73
"2619",1379710560,72
"2610",1379714160,70
"2608",1379717760,71.1
"2605",1379721360,71.1
"2602",1379724960,69.1
"2600",1379728560,68
"2598",1379732160,66.9
"2597",1379734860,66.2
"2595",1379735760,66
"2594",1379738040,66.2
"2592",1379739360,66
"2617",1379742960,66
"2615",1379746560,66
"2581",1379749920,64.4
"2580",1379750160,64.9
"2591",1379753760,64.9
"2578",1379756880,62.6
"2577",1379757360,63
"2575",1379759040,64.4
"2574",1379759940,62.6
"2573",1379760960,63
"2571",1379764560,62.1
"2569",1379768160,62.1
"2567",1379771760,62.1
"2565",1379775360,62.1
"2563",1379778960,64.9
"2561",1379782560,66
"2589",1379784300,62.6
"2588",1379784780,62.6
"2587",1379786160,63
"2585",1379787540,62.6
"2584",1379789160,62.6
"2583",1379789760,63
"2579",1379793360,63
"2590",1379796960,64
"2576",1379800560,66
"2572",1379804160,68
"2570",1379807760,66
"2568",1379811360,64.9
"2566",1379814960,62.1
"2564",1379818560,61
"2562",1379822160,61
"2560",1379825760,60.1
"2586",1379829360,60.1
"2582",1379832960,59
"2552",1379836560,59
"2558",1379840160,57.9
"2550",1379843760,57
"2548",1379847360,57
"2546",1379850960,55.9
"2544",1379854560,55.9
"2542",1379857080,55.4
"2541",1379858160,55
"2539",1379861760,55.9
"2537",1379865360,60.1
"2535",1379868960,62.1
"2556",1379872560,64
"2554",1379876160,66
"2551",1379879760,66.9
"2559",1379881620,69.8
"2557",1379883360,68
"2549",1379886960,69.1
"2547",1379890560,69.1
"2545",1379894160,66.9
"2543",1379897760,66
"2540",1379901360,63
"2538",1379904960,62.1
"2536",1379908560,62.1
"2534",1379912160,61
"2555",1379915760,60.1
"2553",1379919360,60.1
"2527",1379922960,60.1
"2533",1379926560,60.1
"2525",1379930160,59
"2523",1379933760,57.9
"2521",1379937360,57.9
"2519",1379940960,57.9
"2517",1379944560,57.9
"2515",1379948160,60.1
"2513",1379951760,64.9
"2511",1379955360,64.9
"2531",1379958960,66.9
"2529",1379962560,66.9
"2526",1379966160,69.1
"2532",1379969760,71.1
"2524",1379973360,75.9
"2522",1379976960,73.9
"2520",1379980560,71.1
"2518",1379984160,68
"2516",1379987760,66.9
"2514",1379991360,66
"2512",1379994960,64
"2510",1379998560,64
"2530",1380002160,62.1
"2528",1380005760,61
"2503",1380009360,61
"2509",1380012960,60.1
"2501",1380016560,62.1
"2499",1380020160,60.1
"2497",1380023760,61
"2495",1380027360,61
"2493",1380030960,60.1
"2491",1380034560,61
"2489",1380038160,62.1
"2487",1380041760,64.9
"2507",1380045360,66.9
"2505",1380048960,69.1
"2502",1380052560,69.1
"2508",1380056160,69.1
"2500",1380059760,69.1
"2498",1380063360,68
"2496",1380066960,66
"2494",1380070560,64
"2492",1380074160,61
"2490",1380077760,61
"2488",1380081360,60.1
"2486",1380084960,59
"2506",1380088560,59
"2504",1380092160,59
"2479",1380095760,57.9
"2485",1380099360,57.9
"2477",1380102960,57.9
"2475",1380106560,57
"2473",1380110160,57
"2471",1380113760,55.9
"2469",1380117360,55.9
"2467",1380120960,57.9
"2465",1380124560,61
"2463",1380128160,63
"2483",1380131760,64
"2481",1380135360,64.9
"2478",1380138960,66
"2484",1380142560,64.9
"2476",1380146160,66
"2474",1380149760,64.9
"2472",1380153360,63
"2470",1380156960,62.1
"2468",1380160560,59
"2466",1380164160,57.9
"2464",1380167760,57
"2462",1380171360,57
"2482",1380174960,55.9
"2480",1380178560,55.9
"2455",1380182160,55.9
"2461",1380185760,55.9
"2453",1380189360,55
"2451",1380192960,54
"2449",1380196560,54
"2447",1380200160,54
"2445",1380203760,54
"2443",1380207360,55.9
"2441",1380210960,60.1
"2439",1380214560,63
"2459",1380218160,66.9
